instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,time_category,day_name
1929,2011-03-26,Musim Panas,0,3,3,0,6,Hari Libur,Cerah,0.2,0.197,0.47,0.194,2,7,9,Malam,Sabtu
1930,2011-03-26,Musim Panas,0,3,4,0,6,Hari Libur,Cerah,0.22,0.2121,0.44,0.2239,2,4,6,Malam,Sabtu
1931,2011-03-26,Musim Panas,0,3,5,0,6,Hari Libur,Cerah,0.2,0.197,0.51,0.194,0,8,8,Pagi,Sabtu
1932,2011-03-26,Musim Panas,0,3,6,0,6,Hari Libur,Cerah,0.18,0.1818,0.55,0.194,2,8,10,Pagi,Sabtu
1933,2011-03-26,Musim Panas,0,3,7,0,6,Hari Libur,Cerah,0.2,0.197,0.51,0.194,18,23,41,Pagi,Sabtu
1934,2011-03-26,Musim Panas,0,3,8,0,6,Hari Libur,Cerah,0.22,0.2273,0.44,0.1343,24,42,66,Pagi,Sabtu
1935,2011-03-26,Musim Panas,0,3,9,0,6,Hari Libur,Cerah,0.24,0.2424,0.41,0.1343,32,68,100,Pagi,Sabtu
1936,2011-03-26,Musim Panas,0,3,10,0,6,Hari Libur,Cerah,0.26,0.2576,0.41,0.1642,32,93,125,Pagi,Sabtu
1937,2011-03-26,Musim Panas,0,3,11,0,6,Hari Libur,Cerah,0.28,0.2727,0.38,0.1642,75,93,168,Pagi,Sabtu
1938,2011-03-26,Musim Panas,0,3,12,0,6,Hari Libur,Cerah,0.3,0.2879,0.36,0.194,98,129,227,Siang,Sabtu
1939,2011-03-26,Musim Panas,0,3,13,0,6,Hari Libur,Cerah,0.32,0.303,0.33,0.2239,94,145,239,Siang,Sabtu
1940,2011-03-26,Musim Panas,0,3,14,0,6,Hari Libur,Cerah,0.34,0.3182,0.29,0.2239,93,123,216,Siang,Sabtu
1941,2011-03-26,Musim Panas,0,3,15,0,6,Hari Libur,Cerah,0.34,0.3333,0.29,0.194,110,109,219,Siang,Sabtu
1942,2011-03-26,Musim Panas,0,3,16,0,6,Hari Libur,Cerah,0.34,0.3333,0.23,0.194,118,130,248,Siang,Sabtu
1943,2011-03-26,Musim Panas,0,3,17,0,6,Hari Libur,Cerah,0.32,0.303,0.24,0.2239,102,101,203,Sore,Sabtu
1944,2011-03-26,Musim Panas,0,3,18,0,6,Hari Libur,Berawan,0.32,0.3182,0.21,0.1642,64,89,153,Sore,Sabtu
1945,2011-03-26,Musim Panas,0,3,19,0,6,Hari Libur,Berawan,0.28,0.2727,0.45,0.2537,45,93,138,Sore,Sabtu
1946,2011-03-26,Musim Panas,0,3,20,0,6,Hari Libur,Berawan,0.28,0.2727,0.45,0.2537,18,67,85,Sore,Sabtu
1947,2011-03-26,Musim Panas,0,3,21,0,6,Hari Libur,Berawan,0.26,0.2576,0.44,0.194,15,36,51,Malam,Sabtu
1948,2011-03-26,Musim Panas,0,3,22,0,6,Hari Libur,Berawan,0.28,0.2727,0.41,0.2239,17,46,63,Malam,Sabtu
1949,2011-03-26,Musim Panas,0,3,23,0,6,Hari Libur,Berawan,0.26,0.2424,0.44,0.2836,10,31,41,Malam,Sabtu
1950,2011-03-27,Musim Panas,0,3,0,0,0,Hari Libur,Berawan,0.26,0.2576,0.41,0.1642,5,26,31,Malam,Minggu
1951,2011-03-27,Musim Panas,0,3,1,0,0,Hari Libur,Berawan,0.24,0.2273,0.52,0.194,3,17,20,Malam,Minggu
1952,2011-03-27,Musim Panas,0,3,2,0,0,Hari Libur,Hujan ringan,0.22,0.2273,0.55,0.194,6,15,21,Malam,Minggu
1953,2011-03-27,Musim Panas,0,3,3,0,0,Hari Libur,Hujan ringan,0.2,0.197,0.69,0.2239,0,14,14,Malam,Minggu
1954,2011-03-27,Musim Panas,0,3,4,0,0,Hari Libur,Hujan ringan,0.18,0.197,0.74,0.1642,1,5,6,Malam,Minggu
1955,2011-03-27,Musim Panas,0,3,6,0,0,Hari Libur,Hujan ringan,0.16,0.1818,0.86,0.1343,0,2,2,Pagi,Minggu
1956,2011-03-27,Musim Panas,0,3,7,0,0,Hari Libur,Hujan ringan,0.16,0.1667,0.86,0.1642,0,7,7,Pagi,Minggu
1957,2011-03-27,Musim Panas,0,3,8,0,0,Hari Libur,Cerah,0.2,0.197,0.69,0.2239,6,8,14,Pagi,Minggu
1958,2011-03-27,Musim Panas,0,3,9,0,0,Hari Libur,Cerah,0.22,0.2273,0.55,0.1343,17,37,54,Pagi,Minggu
1959,2011-03-27,Musim Panas,0,3,10,0,0,Hari Libur,Berawan,0.22,0.2121,0.55,0.2239,27,59,86,Pagi,Minggu
1960,2011-03-27,Musim Panas,0,3,11,0,0,Hari Libur,Berawan,0.24,0.2424,0.48,0.1642,23,85,108,Pagi,Minggu
1961,2011-03-27,Musim Panas,0,3,12,0,0,Hari Libur,Berawan,0.26,0.2576,0.44,0.2239,43,120,163,Siang,Minggu
1962,2011-03-27,Musim Panas,0,3,13,0,0,Hari Libur,Cerah,0.3,0.2879,0.39,0.2239,47,100,147,Siang,Minggu
1963,2011-03-27,Musim Panas,0,3,14,0,0,Hari Libur,Cerah,0.32,0.3182,0.36,0.1642,61,103,164,Siang,Minggu
1964,2011-03-27,Musim Panas,0,3,15,0,0,Hari Libur,Cerah,0.32,0.303,0.36,0.2836,61,111,172,Siang,Minggu
1965,2011-03-27,Musim Panas,0,3,16,0,0,Hari Libur,Cerah,0.34,0.3333,0.34,0.0,45,98,143,Siang,Minggu
1966,2011-03-27,Musim Panas,0,3,17,0,0,Hari Libur,Cerah,0.32,0.303,0.31,0.2537,50,109,159,Sore,Minggu
1967,2011-03-27,Musim Panas,0,3,18,0,0,Hari Libur,Cerah,0.3,0.2879,0.33,0.194,32,105,137,Sore,Minggu
1968,2011-03-27,Musim Panas,0,3,19,0,0,Hari Libur,Cerah,0.3,0.2879,0.31,0.2239,23,80,103,Sore,Minggu
1969,2011-03-27,Musim Panas,0,3,20,0,0,Hari Libur,Cerah,0.28,0.2727,0.36,0.1642,7,50,57,Sore,Minggu
1970,2011-03-27,Musim Panas,0,3,21,0,0,Hari Libur,Cerah,0.26,0.2576,0.41,0.1642,7,29,36,Malam,Minggu
1971,2011-03-27,Musim Panas,0,3,22,0,0,Hari Libur,Cerah,0.26,0.2576,0.41,0.1642,5,25,30,Malam,Minggu
1972,2011-03-27,Musim Panas,0,3,23,0,0,Hari Libur,Cerah,0.26,0.2576,0.44,0.194,3,16,19,Malam,Minggu
1973,2011-03-28,Musim Panas,0,3,0,0,1,Hari Kerja,Cerah,0.22,0.2273,0.55,0.194,1,11,12,Malam,Senin
1974,2011-03-28,Musim Panas,0,3,1,0,1,Hari Kerja,Cerah,0.22,0.2273,0.44,0.194,2,4,6,Malam,Senin
1975,2011-03-28,Musim Panas,0,3,2,0,1,Hari Kerja,Cerah,0.22,0.2273,0.44,0.1642,0,5,5,Malam,Senin
1976,2011-03-28,Musim Panas,0,3,3,0,1,Hari Kerja,Cerah,0.22,0.2273,0.44,0.1642,0,2,2,Malam,Senin
1977,2011-03-28,Musim Panas,0,3,5,0,1,Hari Kerja,Cerah,0.18,0.1818,0.43,0.194,0,8,8,Pagi,Senin
1978,2011-03-28,Musim Panas,0,3,6,0,1,Hari Kerja,Cerah,0.18,0.1667,0.34,0.2836,0,40,40,Pagi,Senin
1979,2011-03-28,Musim Panas,0,3,7,0,1,Hari Kerja,Cerah,0.2,0.1818,0.32,0.3284,6,104,110,Pagi,Senin
1980,2011-03-28,Musim Panas,0,3,8,0,1,Hari Kerja,Cerah,0.2,0.197,0.34,0.2239,15,239,254,Pagi,Senin
1981,2011-03-28,Musim Panas,0,3,9,0,1,Hari Kerja,Berawan,0.22,0.2121,0.32,0.2239,12,109,121,Pagi,Senin
1982,2011-03-28,Musim Panas,0,3,10,0,1,Hari Kerja,Cerah,0.24,0.2273,0.3,0.194,22,47,69,Pagi,Senin
1983,2011-03-28,Musim Panas,0,3,11,0,1,Hari Kerja,Berawan,0.26,0.2424,0.3,0.2836,18,39,57,Pagi,Senin
1984,2011-03-28,Musim Panas,0,3,12,0,1,Hari Kerja,Berawan,0.26,0.2727,0.25,0.0,8,71,79,Siang,Senin
1985,2011-03-28,Musim Panas,0,3,13,0,1,Hari Kerja,Berawan,0.3,0.2879,0.24,0.2239,14,69,83,Siang,Senin
1986,2011-03-28,Musim Panas,0,3,14,0,1,Hari Kerja,Cerah,0.32,0.303,0.22,0.2239,15,65,80,Siang,Senin
1987,2011-03-28,Musim Panas,0,3,15,0,1,Hari Kerja,Cerah,0.32,0.303,0.24,0.2836,19,53,72,Siang,Senin
1988,2011-03-28,Musim Panas,0,3,16,0,1,Hari Kerja,Cerah,0.34,0.3182,0.23,0.2239,15,117,132,Siang,Senin
1989,2011-03-28,Musim Panas,0,3,17,0,1,Hari Kerja,Cerah,0.34,0.303,0.23,0.2985,25,227,252,Sore,Senin
1990,2011-03-28,Musim Panas,0,3,18,0,1,Hari Kerja,Cerah,0.32,0.303,0.21,0.2836,21,220,241,Sore,Senin
1991,2011-03-28,Musim Panas,0,3,19,0,1,Hari Kerja,Cerah,0.3,0.303,0.22,0.1343,17,156,173,Sore,Senin
1992,2011-03-28,Musim Panas,0,3,20,0,1,Hari Kerja,Cerah,0.32,0.3333,0.22,0.1045,5,107,112,Sore,Senin
1993,2011-03-28,Musim Panas,0,3,21,0,1,Hari Kerja,Cerah,0.32,0.3333,0.21,0.1343,6,55,61,Malam,Senin
1994,2011-03-28,Musim Panas,0,3,22,0,1,Hari Kerja,Cerah,0.3,0.2879,0.22,0.2239,0,40,40,Malam,Senin
1995,2011-03-28,Musim Panas,0,3,23,0,1,Hari Kerja,Cerah,0.28,0.2576,0.24,0.2985,1,18,19,Malam,Senin
1996,2011-03-29,Musim Panas,0,3,0,0,2,Hari Kerja,Cerah,0.26,0.2273,0.28,0.3284,1,15,16,Malam,Selasa
1997,2011-03-29,Musim Panas,0,3,1,0,2,Hari Kerja,Cerah,0.24,0.2121,0.32,0.2985,0,4,4,Malam,Selasa
1998,2011-03-29,Musim Panas,0,3,2,0,2,Hari Kerja,Cerah,0.24,0.2121,0.32,0.2985,0,3,3,Malam,Selasa
1999,2011-03-29,Musim Panas,0,3,3,0,2,Hari Kerja,Cerah,0.24,0.2121,0.32,0.2985,2,1,3,Malam,Selasa
2000,2011-03-29,Musim Panas,0,3,4,0,2,Hari Kerja,Cerah,0.2,0.2121,0.44,0.1642,1,1,2,Malam,Selasa
2001,2011-03-29,Musim Panas,0,3,5,0,2,Hari Kerja,Cerah,0.22,0.2121,0.37,0.2537,0,8,8,Pagi,Selasa
2002,2011-03-29,Musim Panas,0,3,6,0,2,Hari Kerja,Cerah,0.22,0.2121,0.41,0.2985,4,46,50,Pagi,Selasa
2003,2011-03-29,Musim Panas,0,3,7,0,2,Hari Kerja,Cerah,0.22,0.197,0.41,0.3582,5,128,133,Pagi,Selasa
2004,2011-03-29,Musim Panas,0,3,8,0,2,Hari Kerja,Cerah,0.24,0.2121,0.35,0.3582,19,268,287,Pagi,Selasa
2005,2011-03-29,Musim Panas,0,3,9,0,2,Hari Kerja,Cerah,0.28,0.2576,0.28,0.3881,16,156,172,Pagi,Selasa
2006,2011-03-29,Musim Panas,0,3,10,0,2,Hari Kerja,Cerah,0.3,0.2727,0.24,0.2985,13,46,59,Pagi,Selasa
2007,2011-03-29,Musim Panas,0,3,11,0,2,Hari Kerja,Berawan,0.34,0.303,0.25,0.3881,18,63,81,Pagi,Selasa
2008,2011-03-29,Musim Panas,0,3,12,0,2,Hari Kerja,Cerah,0.34,0.3333,0.25,0.1642,29,77,106,Siang,Selasa
2009,2011-03-29,Musim Panas,0,3,13,0,2,Hari Kerja,Cerah,0.34,0.303,0.25,0.2985,24,80,104,Siang,Selasa
2010,2011-03-29,Musim Panas,0,3,14,0,2,Hari Kerja,Cerah,0.36,0.3333,0.25,0.2537,20,66,86,Siang,Selasa
2011,2011-03-29,Musim Panas,0,3,15,0,2,Hari Kerja,Cerah,0.38,0.3939,0.25,0.2239,22,65,87,Siang,Selasa
2012,2011-03-29,Musim Panas,0,3,16,0,2,Hari Kerja,Cerah,0.38,0.3939,0.22,0.1642,12,124,136,Siang,Selasa
2013,2011-03-29,Musim Panas,0,3,17,0,2,Hari Kerja,Cerah,0.4,0.4091,0.2,0.1343,34,265,299,Sore,Selasa
2014,2011-03-29,Musim Panas,0,3,18,0,2,Hari Kerja,Cerah,0.36,0.3636,0.21,0.0896,42,252,294,Sore,Selasa
2015,2011-03-29,Musim Panas,0,3,19,0,2,Hari Kerja,Cerah,0.34,0.3333,0.23,0.194,20,170,190,Sore,Selasa
2016,2011-03-29,Musim Panas,0,3,20,0,2,Hari Kerja,Cerah,0.36,0.3636,0.21,0.0896,13,119,132,Sore,Selasa
2017,2011-03-29,Musim Panas,0,3,21,0,2,Hari Kerja,Cerah,0.34,0.3636,0.42,0.0,8,75,83,Malam,Selasa
2018,2011-03-29,Musim Panas,0,3,22,0,2,Hari Kerja,Cerah,0.34,0.3636,0.49,0.0,6,49,55,Malam,Selasa
2019,2011-03-29,Musim Panas,0,3,23,0,2,Hari Kerja,Berawan,0.32,0.3333,0.57,0.1045,8,27,35,Malam,Selasa
2020,2011-03-30,Musim Panas,0,3,0,0,3,Hari Kerja,Berawan,0.32,0.3485,0.57,0.0,3,8,11,Malam,Rabu
2021,2011-03-30,Musim Panas,0,3,1,0,3,Hari Kerja,Cerah,0.32,0.3485,0.39,0.0,1,9,10,Malam,Rabu
2022,2011-03-30,Musim Panas,0,3,2,0,3,Hari Kerja,Berawan,0.32,0.3485,0.57,0.0,0,4,4,Malam,Rabu
2023,2011-03-30,Musim Panas,0,3,3,0,3,Hari Kerja,Berawan,0.32,0.3485,0.49,0.0,0,4,4,Malam,Rabu
2024,2011-03-30,Musim Panas,0,3,4,0,3,Hari Kerja,Berawan,0.32,0.3485,0.57,0.0,1,0,1,Malam,Rabu
2025,2011-03-30,Musim Panas,0,3,5,0,3,Hari Kerja,Berawan,0.3,0.2879,0.56,0.194,0,7,7,Pagi,Rabu
2026,2011-03-30,Musim Panas,0,3,6,0,3,Hari Kerja,Berawan,0.3,0.303,0.49,0.1343,4,44,48,Pagi,Rabu
2027,2011-03-30,Musim Panas,0,3,7,0,3,Hari Kerja,Berawan,0.32,0.3333,0.45,0.1045,8,128,136,Pagi,Rabu
2028,2011-03-30,Musim Panas,0,3,8,0,3,Hari Kerja,Berawan,0.32,0.3182,0.49,0.1642,16,247,263,Pagi,Rabu
2029,2011-03-30,Musim Panas,0,3,9,0,3,Hari Kerja,Berawan,0.32,0.303,0.45,0.2239,7,147,154,Pagi,Rabu
2030,2011-03-30,Musim Panas,0,3,10,0,3,Hari Kerja,Berawan,0.34,0.3182,0.46,0.2239,13,51,64,Pagi,Rabu
2031,2011-03-30,Musim Panas,0,3,11,0,3,Hari Kerja,Berawan,0.34,0.3182,0.46,0.2537,26,64,90,Pagi,Rabu
2032,2011-03-30,Musim Panas,0,3,12,0,3,Hari Kerja,Berawan,0.34,0.3333,0.46,0.1642,15,65,80,Siang,Rabu
2033,2011-03-30,Musim Panas,0,3,13,0,3,Hari Kerja,Berawan,0.36,0.3485,0.46,0.2239,14,84,98,Siang,Rabu
2034,2011-03-30,Musim Panas,0,3,14,0,3,Hari Kerja,Berawan,0.36,0.3333,0.46,0.2985,16,64,80,Siang,Rabu
2035,2011-03-30,Musim Panas,0,3,15,0,3,Hari Kerja,Hujan ringan,0.28,0.2576,0.81,0.2985,14,56,70,Siang,Rabu
2036,2011-03-30,Musim Panas,0,3,16,0,3,Hari Kerja,Hujan ringan,0.28,0.2727,0.87,0.2537,0,36,36,Siang,Rabu
2037,2011-03-30,Musim Panas,0,3,17,0,3,Hari Kerja,Hujan ringan,0.26,0.2727,0.93,0.1045,11,105,116,Sore,Rabu
2038,2011-03-30,Musim Panas,0,3,18,0,3,Hari Kerja,Berawan,0.26,0.2576,0.93,0.2239,6,79,85,Sore,Rabu
2039,2011-03-30,Musim Panas,0,3,19,0,3,Hari Kerja,Berawan,0.26,0.2576,0.93,0.2239,5,67,72,Sore,Rabu
2040,2011-03-30,Musim Panas,0,3,20,0,3,Hari Kerja,Hujan ringan,0.24,0.2121,0.93,0.2985,4,40,44,Sore,Rabu
2041,2011-03-30,Musim Panas,0,3,21,0,3,Hari Kerja,Berawan,0.24,0.2273,0.93,0.2537,0,27,27,Malam,Rabu
2042,2011-03-30,Musim Panas,0,3,22,0,3,Hari Kerja,Hujan ringan,0.24,0.2273,0.93,0.2239,3,21,24,Malam,Rabu
2043,2011-03-30,Musim Panas,0,3,23,0,3,Hari Kerja,Hujan ringan,0.24,0.2121,0.93,0.2836,1,11,12,Malam,Rabu
2044,2011-03-31,Musim Panas,0,3,0,0,4,Hari Kerja,Hujan ringan,0.24,0.2273,0.93,0.2239,0,3,3,Malam,Kamis
2045,2011-03-31,Musim Panas,0,3,1,0,4,Hari Kerja,Hujan ringan,0.24,0.2273,0.93,0.194,1,4,5,Malam,Kamis
2046,2011-03-31,Musim Panas,0,3,2,0,4,Hari Kerja,Hujan ringan,0.24,0.2273,0.93,0.194,0,5,5,Malam,Kamis
2047,2011-03-31,Musim Panas,0,3,3,0,4,Hari Kerja,Hujan ringan,0.24,0.2273,0.93,0.2239,0,1,1,Malam,Kamis
2048,2011-03-31,Musim Panas,0,3,4,0,4,Hari Kerja,Hujan ringan,0.24,0.2273,0.93,0.2537,0,2,2,Malam,Kamis
2049,2011-03-31,Musim Panas,0,3,5,0,4,Hari Kerja,Hujan ringan,0.24,0.2273,0.93,0.2239,0,8,8,Pagi,Kamis
2050,2011-03-31,Musim Panas,0,3,6,0,4,Hari Kerja,Hujan ringan,0.24,0.2121,0.93,0.2985,2,34,36,Pagi,Kamis
2051,2011-03-31,Musim Panas,0,3,7,0,4,Hari Kerja,Hujan ringan,0.24,0.2273,0.93,0.2537,5,87,92,Pagi,Kamis
2052,2011-03-31,Musim Panas,0,3,8,0,4,Hari Kerja,Berawan,0.24,0.2273,1.0,0.2537,7,185,192,Pagi,Kamis
2053,2011-03-31,Musim Panas,0,3,9,0,4,Hari Kerja,Hujan ringan,0.26,0.2424,0.93,0.2537,6,126,132,Pagi,Kamis
2054,2011-03-31,Musim Panas,0,3,10,0,4,Hari Kerja,Hujan ringan,0.26,0.2424,0.93,0.2537,15,54,69,Pagi,Kamis
2055,2011-03-31,Musim Panas,0,3,11,0,4,Hari Kerja,Hujan ringan,0.28,0.2727,0.93,0.194,6,52,58,Pagi,Kamis
2056,2011-03-31,Musim Panas,0,3,12,0,4,Hari Kerja,Hujan ringan,0.28,0.2727,0.93,0.194,17,73,90,Siang,Kamis
2057,2011-03-31,Musim Panas,0,3,13,0,4,Hari Kerja,Hujan ringan,0.3,0.303,0.87,0.1343,13,55,68,Siang,Kamis
2058,2011-03-31,Musim Panas,0,3,14,0,4,Hari Kerja,Hujan ringan,0.3,0.303,0.87,0.1343,27,49,76,Siang,Kamis
2059,2011-03-31,Musim Panas,0,3,15,0,4,Hari Kerja,Hujan ringan,0.3,0.2727,0.87,0.2985,4,61,65,Siang,Kamis
2060,2011-03-31,Musim Panas,0,3,16,0,4,Hari Kerja,Berawan,0.3,0.2879,0.87,0.2537,13,72,85,Siang,Kamis
2061,2011-03-31,Musim Panas,0,3,17,0,4,Hari Kerja,Berawan,0.3,0.2879,0.87,0.2537,15,153,168,Sore,Kamis
2062,2011-03-31,Musim Panas,0,3,18,0,4,Hari Kerja,Berawan,0.3,0.303,0.87,0.1343,12,165,177,Sore,Kamis
2063,2011-03-31,Musim Panas,0,3,19,0,4,Hari Kerja,Berawan,0.3,0.303,0.87,0.1343,12,118,130,Sore,Kamis
2064,2011-03-31,Musim Panas,0,3,20,0,4,Hari Kerja,Hujan ringan,0.28,0.2576,0.93,0.2836,6,79,85,Sore,Kamis
2065,2011-03-31,Musim Panas,0,3,21,0,4,Hari Kerja,Berawan,0.28,0.2727,0.93,0.1642,7,53,60,Malam,Kamis
2066,2011-03-31,Musim Panas,0,3,22,0,4,Hari Kerja,Hujan ringan,0.28,0.2727,0.93,0.2537,7,44,51,Malam,Kamis
2067,2011-03-31,Musim Panas,0,3,23,0,4,Hari Kerja,Hujan ringan,0.26,0.2576,1.0,0.1642,4,23,27,Malam,Kamis
2068,2011-04-01,Musim Panas,0,4,0,0,5,Hari Kerja,Hujan ringan,0.26,0.2576,1.0,0.1642,0,6,6,Malam,Jumat
2069,2011-04-01,Musim Panas,0,4,1,0,5,Hari Kerja,Hujan ringan,0.26,0.2576,1.0,0.1642,0,4,4,Malam,Jumat
2070,2011-04-01,Musim Panas,0,4,2,0,5,Hari Kerja,Hujan ringan,0.26,0.2576,0.93,0.194,0,7,7,Malam,Jumat
2071,2011-04-01,Musim Panas,0,4,3,0,5,Hari Kerja,Berawan,0.24,0.2273,0.93,0.2537,0,4,4,Malam,Jumat
2072,2011-04-01,Musim Panas,0,4,4,0,5,Hari Kerja,Berawan,0.24,0.2273,0.93,0.2537,0,3,3,Malam,Jumat
2073,2011-04-01,Musim Panas,0,4,5,0,5,Hari Kerja,Hujan ringan,0.24,0.2273,0.93,0.2239,1,11,12,Pagi,Jumat
2074,2011-04-01,Musim Panas,0,4,6,0,5,Hari Kerja,Hujan ringan,0.24,0.2273,0.93,0.2239,2,26,28,Pagi,Jumat
2075,2011-04-01,Musim Panas,0,4,7,0,5,Hari Kerja,Hujan ringan,0.24,0.2424,0.93,0.0,4,91,95,Pagi,Jumat
2076,2011-04-01,Musim Panas,0,4,8,0,5,Hari Kerja,Berawan,0.26,0.2424,0.87,0.2537,8,198,206,Pagi,Jumat
2077,2011-04-01,Musim Panas,0,4,9,0,5,Hari Kerja,Cerah,0.32,0.2879,0.7,0.3582,11,162,173,Pagi,Jumat
2078,2011-04-01,Musim Panas,0,4,10,0,5,Hari Kerja,Cerah,0.32,0.303,0.66,0.2836,12,63,75,Pagi,Jumat
2079,2011-04-01,Musim Panas,0,4,11,0,5,Hari Kerja,Cerah,0.32,0.2879,0.61,0.3582,17,72,89,Pagi,Jumat
2080,2011-04-01,Musim Panas,0,4,12,0,5,Hari Kerja,Cerah,0.34,0.303,0.53,0.3582,15,80,95,Siang,Jumat
2081,2011-04-01,Musim Panas,0,4,13,0,5,Hari Kerja,Cerah,0.36,0.3333,0.5,0.3582,18,92,110,Siang,Jumat
2082,2011-04-01,Musim Panas,0,4,14,0,5,Hari Kerja,Berawan,0.36,0.3333,0.46,0.3582,26,61,87,Siang,Jumat
2083,2011-04-01,Musim Panas,0,4,15,0,5,Hari Kerja,Cerah,0.34,0.303,0.46,0.4179,30,81,111,Siang,Jumat
2084,2011-04-01,Musim Panas,0,4,16,0,5,Hari Kerja,Cerah,0.34,0.303,0.46,0.4179,42,125,167,Siang,Jumat
2085,2011-04-01,Musim Panas,0,4,17,0,5,Hari Kerja,Cerah,0.34,0.303,0.46,0.3284,36,245,281,Sore,Jumat
2086,2011-04-01,Musim Panas,0,4,18,0,5,Hari Kerja,Cerah,0.34,0.303,0.46,0.3284,36,205,241,Sore,Jumat
2087,2011-04-01,Musim Panas,0,4,19,0,5,Hari Kerja,Cerah,0.34,0.303,0.49,0.3284,16,120,136,Sore,Jumat
2088,2011-04-01,Musim Panas,0,4,20,0,5,Hari Kerja,Cerah,0.32,0.3182,0.53,0.194,2,75,77,Sore,Jumat
2089,2011-04-01,Musim Panas,0,4,21,0,5,Hari Kerja,Cerah,0.32,0.3333,0.53,0.1343,9,84,93,Malam,Jumat
2090,2011-04-01,Musim Panas,0,4,22,0,5,Hari Kerja,Cerah,0.3,0.303,0.56,0.1642,10,64,74,Malam,Jumat
2091,2011-04-01,Musim Panas,0,4,23,0,5,Hari Kerja,Cerah,0.3,0.3182,0.61,0.0896,12,41,53,Malam,Jumat
2092,2011-04-02,Musim Panas,0,4,0,0,6,Hari Libur,Berawan,0.3,0.3333,0.61,0.0,3,29,32,Malam,Sabtu
2093,2011-04-02,Musim Panas,0,4,1,0,6,Hari Libur,Cerah,0.26,0.2727,0.65,0.1343,4,28,32,Malam,Sabtu
2094,2011-04-02,Musim Panas,0,4,2,0,6,Hari Libur,Cerah,0.24,0.2424,0.75,0.1343,1,20,21,Malam,Sabtu
2095,2011-04-02,Musim Panas,0,4,3,0,6,Hari Libur,Cerah,0.24,0.2424,0.7,0.1642,1,8,9,Malam,Sabtu
2096,2011-04-02,Musim Panas,0,4,4,0,6,Hari Libur,Cerah,0.24,0.2424,0.7,0.1642,0,5,5,Malam,Sabtu
2097,2011-04-02,Musim Panas,0,4,5,0,6,Hari Libur,Berawan,0.24,0.2424,0.75,0.1642,1,4,5,Pagi,Sabtu
2098,2011-04-02,Musim Panas,0,4,6,0,6,Hari Libur,Cerah,0.26,0.2727,0.7,0.1045,5,7,12,Pagi,Sabtu
2099,2011-04-02,Musim Panas,0,4,7,0,6,Hari Libur,Berawan,0.26,0.2727,0.7,0.1045,2,16,18,Pagi,Sabtu
2100,2011-04-02,Musim Panas,0,4,8,0,6,Hari Libur,Cerah,0.3,0.3182,0.7,0.1045,10,45,55,Pagi,Sabtu
2101,2011-04-02,Musim Panas,0,4,9,0,6,Hari Libur,Berawan,0.34,0.3485,0.66,0.1045,22,65,87,Pagi,Sabtu
2102,2011-04-02,Musim Panas,0,4,10,0,6,Hari Libur,Berawan,0.36,0.3485,0.57,0.1642,41,113,154,Pagi,Sabtu
2103,2011-04-02,Musim Panas,0,4,11,0,6,Hari Libur,Berawan,0.4,0.4091,0.47,0.1642,72,126,198,Pagi,Sabtu
2104,2011-04-02,Musim Panas,0,4,12,0,6,Hari Libur,Hujan ringan,0.32,0.3333,0.81,0.1343,84,100,184,Siang,Sabtu
2105,2011-04-02,Musim Panas,0,4,13,0,6,Hari Libur,Cerah,0.34,0.3333,0.81,0.1343,56,81,137,Siang,Sabtu
2106,2011-04-02,Musim Panas,0,4,14,0,6,Hari Libur,Hujan ringan,0.32,0.303,0.76,0.3284,97,93,190,Siang,Sabtu
2107,2011-04-02,Musim Panas,0,4,15,0,6,Hari Libur,Hujan ringan,0.34,0.303,0.76,0.3881,72,64,136,Siang,Sabtu
2108,2011-04-02,Musim Panas,0,4,16,0,6,Hari Libur,Cerah,0.38,0.3939,0.62,0.3284,111,85,196,Siang,Sabtu
2109,2011-04-02,Musim Panas,0,4,17,0,6,Hari Libur,Cerah,0.38,0.3939,0.54,0.3582,89,95,184,Sore,Sabtu
2110,2011-04-02,Musim Panas,0,4,18,0,6,Hari Libur,Cerah,0.38,0.3939,0.54,0.194,69,110,179,Sore,Sabtu
2111,2011-04-02,Musim Panas,0,4,19,0,6,Hari Libur,Cerah,0.36,0.3333,0.53,0.3582,71,77,148,Sore,Sabtu
2112,2011-04-02,Musim Panas,0,4,20,0,6,Hari Libur,Cerah,0.34,0.3182,0.53,0.2836,29,56,85,Sore,Sabtu
2113,2011-04-02,Musim Panas,0,4,21,0,6,Hari Libur,Cerah,0.32,0.303,0.61,0.2537,24,53,77,Malam,Sabtu
2114,2011-04-02,Musim Panas,0,4,22,0,6,Hari Libur,Cerah,0.32,0.303,0.61,0.2985,14,41,55,Malam,Sabtu
2115,2011-04-02,Musim Panas,0,4,23,0,6,Hari Libur,Cerah,0.32,0.3182,0.61,0.1642,20,33,53,Malam,Sabtu
2116,2011-04-03,Musim Panas,0,4,0,0,0,Hari Libur,Cerah,0.3,0.2879,0.65,0.194,8,31,39,Malam,Minggu
2117,2011-04-03,Musim Panas,0,4,1,0,0,Hari Libur,Cerah,0.3,0.3182,0.61,0.1045,8,26,34,Malam,Minggu
2118,2011-04-03,Musim Panas,0,4,2,0,0,Hari Libur,Cerah,0.26,0.2727,0.7,0.1343,5,19,24,Malam,Minggu
